0----匹配点数:1494, 正确匹配点数1378, 准确率0.9223560690879822 
168----匹配点数:2142, 正确匹配点数2031, 准确率0.9481792449951172 
169----匹配点数:1429, 正确匹配点数1347, 准确率0.9426172375679016 
170----匹配点数:2372, 正确匹配点数2238, 准确率0.9435076117515564 
171----匹配点数:1502, 正确匹配点数1422, 准确率0.9467377066612244 
172----匹配点数:115, 正确匹配点数97, 准确率0.843478262424469 
173----匹配点数:2716, 正确匹配点数2542, 准确率0.9359351992607117 
174----匹配点数:1519, 正确匹配点数1431, 准确率0.9420671463012695 
175----匹配点数:2269, 正确匹配点数2170, 准确率0.9563684463500977 
176----匹配点数:1810, 正确匹配点数1721, 准确率0.9508287310600281 
177----匹配点数:1585, 正确匹配点数1361, 准确率0.8586750626564026 
178----匹配点数:1703, 正确匹配点数1540, 准确率0.9042865633964539 
179----匹配点数:1371, 正确匹配点数1295, 准确率0.944566011428833 
180----匹配点数:1572, 正确匹配点数1356, 准确率0.8625954389572144 
181----匹配点数:1762, 正确匹配点数1656, 准确率0.939841091632843 
182----匹配点数:575, 正确匹配点数521, 准确率0.9060869812965393 
183----匹配点数:876, 正确匹配点数794, 准确率0.9063926935195923 
184----匹配点数:394, 正确匹配点数314, 准确率0.796954333782196 
185----匹配点数:2300, 正确匹配点数2180, 准确率0.947826087474823 
186----匹配点数:1521, 正确匹配点数1438, 准确率0.9454306364059448 
187----匹配点数:580, 正确匹配点数502, 准确率0.865517258644104 
188----匹配点数:158, 正确匹配点数130, 准确率0.8227847814559937 
189----匹配点数:1638, 正确匹配点数1502, 准确率0.9169719219207764 
190----匹配点数:1440, 正确匹配点数1360, 准确率0.9444444179534912 
191----匹配点数:1133, 正确匹配点数1019, 准确率0.8993821740150452 
192----匹配点数:1274, 正确匹配点数1186, 准确率0.9309262037277222 
193----匹配点数:2229, 正确匹配点数2152, 准确率0.9654553532600403 
194----匹配点数:1187, 正确匹配点数1095, 准确率0.9224936962127686 
195----匹配点数:734, 正确匹配点数679, 准确率0.9250681400299072 
196----匹配点数:1429, 正确匹配点数1305, 准确率0.9132260084152222 
197----匹配点数:2115, 正确匹配点数2028, 准确率0.958865225315094 
198----匹配点数:1697, 正确匹配点数1573, 准确率0.9269298911094666 
199----匹配点数:1191, 正确匹配点数1015, 准确率0.8522250056266785 
200----匹配点数:1550, 正确匹配点数1481, 准确率0.9554838538169861 
201----匹配点数:1828, 正确匹配点数1675, 准确率0.916301965713501 
202----匹配点数:2213, 正确匹配点数2072, 准确率0.9362856149673462 
203----匹配点数:1274, 正确匹配点数1156, 准确率0.9073783159255981 
204----匹配点数:2385, 正确匹配点数2303, 准确率0.9656184315681458 
205----匹配点数:1566, 正确匹配点数1504, 准确率0.9604086875915527 
206----匹配点数:1831, 正确匹配点数1509, 准确率0.8241398334503174 
207----匹配点数:1138, 正确匹配点数999, 准确率0.8778558969497681 
208----匹配点数:1832, 正确匹配点数1710, 准确率0.9334061145782471 
209----匹配点数:1339, 正确匹配点数1261, 准确率0.9417475461959839 
210----匹配点数:2457, 正确匹配点数2348, 准确率0.9556369781494141 
211----匹配点数:1063, 正确匹配点数944, 准确率0.8880527019500732 
212----匹配点数:1607, 正确匹配点数1414, 准确率0.8799004554748535 
213----匹配点数:945, 正确匹配点数892, 准确率0.9439153671264648 
214----匹配点数:1509, 正确匹配点数1445, 准确率0.9575877785682678 
215----匹配点数:1001, 正确匹配点数883, 准确率0.8821178674697876 
216----匹配点数:1639, 正确匹配点数1534, 准确率0.9359365701675415 
217----匹配点数:2078, 正确匹配点数1952, 准确率0.9393647909164429 
218----匹配点数:1554, 正确匹配点数1416, 准确率0.9111968874931335 
219----匹配点数:241, 正确匹配点数223, 准确率0.9253112077713013 
220----匹配点数:1793, 正确匹配点数1647, 准确率0.9185722470283508 
221----匹配点数:1430, 正确匹配点数1367, 准确率0.9559440612792969 
222----匹配点数:2104, 正确匹配点数1922, 准确率0.9134981036186218 
223----匹配点数:1103, 正确匹配点数961, 准确率0.8712602257728577 
224----匹配点数:1913, 正确匹配点数1784, 准确率0.9325666427612305 
225----匹配点数:1199, 正确匹配点数1085, 准确率0.904920756816864 
226----匹配点数:2692, 正确匹配点数2581, 准确率0.9587666988372803 
227----匹配点数:1547, 正确匹配点数1480, 准确率0.9566903710365295 
228----匹配点数:1542, 正确匹配点数1407, 准确率0.9124513864517212 
229----匹配点数:1964, 正确匹配点数1914, 准确率0.9745417237281799 
230----匹配点数:3068, 正确匹配点数2959, 准确率0.9644719958305359 
231----匹配点数:1043, 正确匹配点数830, 准确率0.7957813739776611 
232----匹配点数:1615, 正确匹配点数1526, 准确率0.944891631603241 
233----匹配点数:1019, 正确匹配点数931, 准确率0.9136407971382141 
234----匹配点数:2044, 正确匹配点数1963, 准确率0.9603717923164368 
235----匹配点数:1115, 正确匹配点数1016, 准确率0.9112107753753662 
236----匹配点数:3523, 正确匹配点数3284, 准确率0.9321600794792175 
237----匹配点数:2229, 正确匹配点数2135, 准确率0.9578286409378052 
238----匹配点数:2246, 正确匹配点数2110, 准确率0.9394478797912598 
239----匹配点数:1627, 正确匹配点数1547, 准确率0.9508297443389893 
240----匹配点数:1212, 正确匹配点数1112, 准确率0.9174917340278625 
241----匹配点数:1185, 正确匹配点数1067, 准确率0.9004219174385071 
242----匹配点数:1500, 正确匹配点数1459, 准确率0.9726666808128357 
243----匹配点数:72, 正确匹配点数65, 准确率0.9027777910232544 
244----匹配点数:141, 正确匹配点数90, 准确率0.6382978558540344 
245----匹配点数:685, 正确匹配点数621, 准确率0.9065693616867065 
246----匹配点数:1579, 正确匹配点数1467, 准确率0.9290690422058105 
247----匹配点数:451, 正确匹配点数356, 准确率0.7893570065498352 
248----匹配点数:2528, 正确匹配点数2234, 准确率0.8837025165557861 
249----匹配点数:234, 正确匹配点数193, 准确率0.8247863054275513 
250----匹配点数:2182, 正确匹配点数2076, 准确率0.9514207243919373 
251----匹配点数:1423, 正确匹配点数1377, 准确率0.9676739573478699 
252----匹配点数:250, 正确匹配点数204, 准确率0.8159999847412109 
253----匹配点数:2250, 正确匹配点数2124, 准确率0.9440000057220459 
254----匹配点数:1428, 正确匹配点数1256, 准确率0.8795518279075623 
255----匹配点数:2736, 正确匹配点数2548, 准确率0.9312865734100342 
256----匹配点数:1215, 正确匹配点数1154, 准确率0.9497942328453064 
257----匹配点数:797, 正确匹配点数729, 准确率0.9146800637245178 
258----匹配点数:2333, 正确匹配点数2206, 准确率0.9455636739730835 
259----匹配点数:308, 正确匹配点数293, 准确率0.951298713684082 
260----匹配点数:483, 正确匹配点数456, 准确率0.9440993666648865 
261----匹配点数:1167, 正确匹配点数1120, 准确率0.9597257971763611 
262----匹配点数:1795, 正确匹配点数1606, 准确率0.8947075009346008 
263----匹配点数:2422, 正确匹配点数2294, 准确率0.9471511244773865 
264----匹配点数:2387, 正确匹配点数2266, 准确率0.9493087530136108 
265----匹配点数:1987, 正确匹配点数1745, 准确率0.878208339214325 
266----匹配点数:1756, 正确匹配点数1539, 准确率0.876423716545105 
267----匹配点数:2032, 正确匹配点数1745, 准确率0.8587598204612732 
268----匹配点数:2017, 正确匹配点数1903, 准确率0.9434804320335388 
269----匹配点数:1968, 正确匹配点数1766, 准确率0.897357702255249 
270----匹配点数:307, 正确匹配点数291, 准确率0.9478827118873596 
271----匹配点数:2867, 正确匹配点数2578, 准确率0.8991977572441101 
272----匹配点数:1349, 正确匹配点数1189, 准确率0.8813936114311218 
273----匹配点数:1697, 正确匹配点数1606, 准确率0.9463759660720825 
274----匹配点数:1873, 正确匹配点数1764, 准确率0.9418045878410339 
275----匹配点数:1315, 正确匹配点数1163, 准确率0.8844106197357178 
276----匹配点数:2872, 正确匹配点数2708, 准确率0.9428969621658325 
277----匹配点数:2015, 正确匹配点数1760, 准确率0.8734491467475891 
278----匹配点数:1598, 正确匹配点数1502, 准确率0.9399248957633972 
279----匹配点数:1489, 正确匹配点数1380, 准确率0.9267964959144592 
280----匹配点数:1926, 正确匹配点数1657, 准确率0.8603323101997375 
281----匹配点数:1783, 正确匹配点数1672, 准确率0.9377453923225403 
282----匹配点数:606, 正确匹配点数542, 准确率0.8943894505500793 
283----匹配点数:1599, 正确匹配点数1395, 准确率0.8724202513694763 
284----匹配点数:1710, 正确匹配点数1576, 准确率0.9216374158859253 
285----匹配点数:2214, 正确匹配点数1943, 准确率0.8775970935821533 
286----匹配点数:2671, 正确匹配点数2526, 准确率0.945713222026825 
287----匹配点数:1470, 正确匹配点数1380, 准确率0.9387755393981934 
288----匹配点数:3239, 正确匹配点数2779, 准确率0.8579808473587036 
289----匹配点数:2333, 正确匹配点数2214, 准确率0.9489927291870117 
290----匹配点数:1735, 正确匹配点数1399, 准确率0.8063400387763977 
291----匹配点数:2558, 正确匹配点数2280, 准确率0.8913213610649109 
292----匹配点数:2601, 正确匹配点数2462, 准确率0.9465590119361877 
293----匹配点数:2094, 正确匹配点数1851, 准确率0.8839541673660278 
294----匹配点数:1192, 正确匹配点数1052, 准确率0.8825503587722778 
295----匹配点数:986, 正确匹配点数923, 准确率0.936105489730835 
296----匹配点数:2618, 正确匹配点数2390, 准确率0.9129106402397156 
297----匹配点数:2890, 正确匹配点数2605, 准确率0.9013840556144714 
298----匹配点数:1584, 正确匹配点数1430, 准确率0.9027777910232544 
299----匹配点数:1536, 正确匹配点数1368, 准确率0.890625 
