0----匹配点数:1017, 正确匹配点数897, 准确率0.8820058703422546 
85----匹配点数:2168, 正确匹配点数1687, 准确率0.7781365513801575 
86----匹配点数:1870, 正确匹配点数1578, 准确率0.8438502550125122 
87----匹配点数:1930, 正确匹配点数1472, 准确率0.7626942992210388 
88----匹配点数:1676, 正确匹配点数1240, 准确率0.7398567795753479 
89----匹配点数:1216, 正确匹配点数1050, 准确率0.8634868264198303 
90----匹配点数:1847, 正确匹配点数1610, 准确率0.8716838359832764 
91----匹配点数:2002, 正确匹配点数1859, 准确率0.9285714030265808 
92----匹配点数:365, 正确匹配点数277, 准确率0.7589040994644165 
93----匹配点数:1144, 正确匹配点数943, 准确率0.8243007063865662 
94----匹配点数:607, 正确匹配点数471, 准确率0.7759472727775574 
95----匹配点数:1559, 正确匹配点数1263, 准确率0.8101347088813782 
96----匹配点数:1564, 正确匹配点数1356, 准确率0.8670076727867126 
97----匹配点数:1433, 正确匹配点数1245, 准确率0.8688067197799683 
98----匹配点数:1509, 正确匹配点数1317, 准确率0.8727633953094482 
99----匹配点数:656, 正确匹配点数391, 准确率0.5960366129875183 
100----匹配点数:2134, 正确匹配点数1883, 准确率0.882380485534668 
101----匹配点数:1630, 正确匹配点数1259, 准确率0.7723926305770874 
102----匹配点数:569, 正确匹配点数488, 准确率0.8576449751853943 
103----匹配点数:1695, 正确匹配点数1448, 准确率0.8542773127555847 
104----匹配点数:1810, 正确匹配点数1526, 准确率0.8430939316749573 
105----匹配点数:2188, 正确匹配点数1982, 准确率0.9058501124382019 
106----匹配点数:1787, 正确匹配点数1686, 准确率0.9434806704521179 
107----匹配点数:645, 正确匹配点数513, 准确率0.7953488230705261 
108----匹配点数:1582, 正确匹配点数1222, 准确率0.7724399566650391 
109----匹配点数:2034, 正确匹配点数1623, 准确率0.7979351282119751 
110----匹配点数:1830, 正确匹配点数1441, 准确率0.7874317169189453 
111----匹配点数:1913, 正确匹配点数1725, 准确率0.9017250537872314 
112----匹配点数:205, 正确匹配点数112, 准确率0.5463414788246155 
113----匹配点数:1793, 正确匹配点数1589, 准确率0.8862242102622986 
114----匹配点数:2269, 正确匹配点数1556, 准确率0.6857646703720093 
115----匹配点数:122, 正确匹配点数75, 准确率0.6147540807723999 
116----匹配点数:1738, 正确匹配点数1493, 准确率0.8590333461761475 
117----匹配点数:673, 正确匹配点数589, 准确率0.8751857280731201 
118----匹配点数:1618, 正确匹配点数1358, 准确率0.8393077850341797 
119----匹配点数:2490, 正确匹配点数1730, 准确率0.694779098033905 
120----匹配点数:1710, 正确匹配点数1443, 准确率0.8438596725463867 
121----匹配点数:1396, 正确匹配点数1197, 准确率0.8574498295783997 
122----匹配点数:1202, 正确匹配点数1047, 准确率0.8710482716560364 
123----匹配点数:841, 正确匹配点数739, 准确率0.8787158131599426 
124----匹配点数:913, 正确匹配点数753, 准确率0.8247535824775696 
125----匹配点数:1771, 正确匹配点数1459, 准确率0.8238283395767212 
126----匹配点数:619, 正确匹配点数558, 准确率0.901453971862793 
127----匹配点数:1770, 正确匹配点数1553, 准确率0.8774011135101318 
128----匹配点数:1679, 正确匹配点数1363, 准确率0.8117927312850952 
129----匹配点数:1201, 正确匹配点数1011, 准确率0.8417984843254089 
130----匹配点数:962, 正确匹配点数772, 准确率0.8024948239326477 
131----匹配点数:906, 正确匹配点数802, 准确率0.8852097392082214 
132----匹配点数:2178, 正确匹配点数1990, 准确率0.9136822819709778 
133----匹配点数:2448, 正确匹配点数2031, 准确率0.8296568393707275 
134----匹配点数:1570, 正确匹配点数1233, 准确率0.7853503227233887 
135----匹配点数:1234, 正确匹配点数1121, 准确率0.908427894115448 
136----匹配点数:1395, 正确匹配点数1177, 准确率0.8437275886535645 
137----匹配点数:1659, 正确匹配点数1409, 准确率0.8493068218231201 
138----匹配点数:2993, 正确匹配点数2498, 准确率0.834614098072052 
139----匹配点数:1999, 正确匹配点数1661, 准确率0.8309154510498047 
140----匹配点数:255, 正确匹配点数172, 准确率0.6745098233222961 
141----匹配点数:1752, 正确匹配点数1227, 准确率0.7003424763679504 
142----匹配点数:1551, 正确匹配点数1252, 准确率0.8072211742401123 
143----匹配点数:424, 正确匹配点数378, 准确率0.8915094137191772 
144----匹配点数:744, 正确匹配点数646, 准确率0.8682795763015747 
145----匹配点数:911, 正确匹配点数733, 准确率0.8046103119850159 
146----匹配点数:2065, 正确匹配点数1758, 准确率0.8513317108154297 
147----匹配点数:2860, 正确匹配点数2463, 准确率0.8611888289451599 
148----匹配点数:305, 正确匹配点数253, 准确率0.8295081853866577 
149----匹配点数:2059, 正确匹配点数1764, 准确率0.8567265868186951 
150----匹配点数:1743, 正确匹配点数1582, 准确率0.9076305031776428 
151----匹配点数:706, 正确匹配点数521, 准确率0.7379603385925293 
152----匹配点数:960, 正确匹配点数835, 准确率0.8697916865348816 
153----匹配点数:1708, 正确匹配点数1435, 准确率0.8401639461517334 
154----匹配点数:210, 正确匹配点数186, 准确率0.8857142925262451 
155----匹配点数:1713, 正确匹配点数1475, 准确率0.8610624670982361 
156----匹配点数:1567, 正确匹配点数1266, 准确率0.8079131841659546 
157----匹配点数:953, 正确匹配点数745, 准确率0.7817418575286865 
158----匹配点数:2110, 正确匹配点数1727, 准确率0.8184834122657776 
159----匹配点数:1148, 正确匹配点数941, 准确率0.8196864128112793 
160----匹配点数:2099, 正确匹配点数1768, 准确率0.8423058390617371 
161----匹配点数:357, 正确匹配点数284, 准确率0.7955182194709778 
162----匹配点数:1587, 正确匹配点数1419, 准确率0.8941398859024048 
163----匹配点数:2634, 正确匹配点数2215, 准确率0.8409263491630554 
164----匹配点数:1382, 正确匹配点数1253, 准确率0.9066570401191711 
165----匹配点数:782, 正确匹配点数646, 准确率0.8260869383811951 
166----匹配点数:1406, 正确匹配点数1160, 准确率0.825035572052002 
167----匹配点数:1219, 正确匹配点数1059, 准确率0.8687448501586914 
168----匹配点数:189, 正确匹配点数155, 准确率0.820105791091919 
169----匹配点数:1719, 正确匹配点数1477, 准确率0.8592205047607422 
170----匹配点数:1423, 正确匹配点数1342, 准确率0.9430779814720154 
171----匹配点数:876, 正确匹配点数621, 准确率0.7089040875434875 
172----匹配点数:2841, 正确匹配点数2537, 准确率0.8929954171180725 
173----匹配点数:1372, 正确匹配点数1188, 准确率0.8658891916275024 
174----匹配点数:1706, 正确匹配点数1513, 准确率0.8868698477745056 
175----匹配点数:219, 正确匹配点数175, 准确率0.7990867495536804 
176----匹配点数:1670, 正确匹配点数1423, 准确率0.8520957827568054 
177----匹配点数:1045, 正确匹配点数793, 准确率0.7588516473770142 
178----匹配点数:1286, 正确匹配点数981, 准确率0.7628304958343506 
179----匹配点数:2059, 正确匹配点数1846, 准确率0.8965517282485962 
180----匹配点数:1247, 正确匹配点数1026, 准确率0.8227746486663818 
181----匹配点数:1609, 正确匹配点数1311, 准确率0.8147917985916138 
182----匹配点数:639, 正确匹配点数383, 准确率0.599373996257782 
183----匹配点数:2122, 正确匹配点数1483, 准确率0.698868989944458 
184----匹配点数:3094, 正确匹配点数2617, 准确率0.8458306193351746 
185----匹配点数:1658, 正确匹配点数1408, 准确率0.8492159247398376 
186----匹配点数:495, 正确匹配点数434, 准确率0.8767676949501038 
187----匹配点数:1675, 正确匹配点数1330, 准确率0.7940298318862915 
188----匹配点数:2083, 正确匹配点数1662, 准确率0.7978876829147339 
189----匹配点数:2046, 正确匹配点数1614, 准确率0.7888563275337219 
190----匹配点数:2729, 正确匹配点数2321, 准确率0.8504946827888489 
191----匹配点数:1035, 正确匹配点数912, 准确率0.8811594247817993 
192----匹配点数:2172, 正确匹配点数1940, 准确率0.8931860327720642 
193----匹配点数:1655, 正确匹配点数1423, 准确率0.8598187565803528 
194----匹配点数:1922, 正确匹配点数1790, 准确率0.9313215613365173 
195----匹配点数:1450, 正确匹配点数1226, 准确率0.8455172181129456 
196----匹配点数:1733, 正确匹配点数1546, 准确率0.892094612121582 
197----匹配点数:1473, 正确匹配点数1336, 准确率0.9069925546646118 
198----匹配点数:2021, 正确匹配点数1844, 准确率0.9124196171760559 
199----匹配点数:581, 正确匹配点数494, 准确率0.8502581715583801 
200----匹配点数:1738, 正确匹配点数1543, 准确率0.8878020644187927 
201----匹配点数:1798, 正确匹配点数1546, 准确率0.8598442673683167 
202----匹配点数:216, 正确匹配点数178, 准确率0.8240740895271301 
203----匹配点数:697, 正确匹配点数593, 准确率0.8507890701293945 
204----匹配点数:1155, 正确匹配点数988, 准确率0.8554112315177917 
205----匹配点数:1679, 正确匹配点数1347, 准确率0.8022632598876953 
206----匹配点数:599, 正确匹配点数534, 准确率0.8914858102798462 
207----匹配点数:1336, 正确匹配点数1081, 准确率0.8091317415237427 
208----匹配点数:2333, 正确匹配点数2039, 准确率0.8739820122718811 
209----匹配点数:1907, 正确匹配点数1740, 准确率0.9124279022216797 
210----匹配点数:2149, 正确匹配点数1945, 准确率0.9050721526145935 
211----匹配点数:1571, 正确匹配点数1385, 准确率0.8816040754318237 
212----匹配点数:1032, 正确匹配点数756, 准确率0.7325581312179565 
213----匹配点数:2309, 正确匹配点数1964, 准确率0.8505846858024597 
214----匹配点数:1522, 正确匹配点数1325, 准确率0.8705650568008423 
215----匹配点数:2172, 正确匹配点数1925, 准确率0.8862799406051636 
216----匹配点数:2182, 正确匹配点数1929, 准确率0.8840513229370117 
217----匹配点数:417, 正确匹配点数358, 准确率0.8585131764411926 
218----匹配点数:361, 正确匹配点数319, 准确率0.8836565017700195 
219----匹配点数:2142, 正确匹配点数1793, 准确率0.8370681405067444 
220----匹配点数:1181, 正确匹配点数870, 准确率0.736663818359375 
221----匹配点数:1650, 正确匹配点数1082, 准确率0.6557575464248657 
222----匹配点数:1097, 正确匹配点数989, 准确率0.9015496969223022 
223----匹配点数:2233, 正确匹配点数1937, 准确率0.8674429059028625 
224----匹配点数:755, 正确匹配点数648, 准确率0.8582781553268433 
225----匹配点数:988, 正确匹配点数814, 准确率0.8238866329193115 
226----匹配点数:1632, 正确匹配点数1327, 准确率0.813112735748291 
227----匹配点数:1224, 正确匹配点数1014, 准确率0.8284313678741455 
228----匹配点数:1456, 正确匹配点数1193, 准确率0.8193681240081787 
229----匹配点数:1436, 正确匹配点数1222, 准确率0.8509749174118042 
230----匹配点数:587, 正确匹配点数463, 准确率0.7887563705444336 
231----匹配点数:705, 正确匹配点数602, 准确率0.8539007306098938 
232----匹配点数:1563, 正确匹配点数1149, 准确率0.7351247668266296 
233----匹配点数:1587, 正确匹配点数1292, 准确率0.8141146898269653 
234----匹配点数:810, 正确匹配点数696, 准确率0.8592592477798462 
235----匹配点数:2187, 正确匹配点数1798, 准确率0.8221307992935181 
236----匹配点数:1325, 正确匹配点数1044, 准确率0.7879245281219482 
237----匹配点数:995, 正确匹配点数906, 准确率0.9105527400970459 
238----匹配点数:240, 正确匹配点数214, 准确率0.8916666507720947 
239----匹配点数:2033, 正确匹配点数1841, 准确率0.9055582880973816 
240----匹配点数:1382, 正确匹配点数1190, 准确率0.8610709309577942 
241----匹配点数:1363, 正确匹配点数1218, 准确率0.8936170339584351 
242----匹配点数:1497, 正确匹配点数1215, 准确率0.8116232752799988 
243----匹配点数:1270, 正确匹配点数1097, 准确率0.8637795448303223 
244----匹配点数:2029, 正确匹配点数1744, 准确率0.8595367074012756 
245----匹配点数:2071, 正确匹配点数1790, 准确率0.8643167614936829 
246----匹配点数:279, 正确匹配点数186, 准确率0.6666666865348816 
247----匹配点数:1099, 正确匹配点数854, 准确率0.7770700454711914 
248----匹配点数:2030, 正确匹配点数1798, 准确率0.8857142925262451 
249----匹配点数:1302, 正确匹配点数1139, 准确率0.8748080134391785 
250----匹配点数:1624, 正确匹配点数1363, 准确率0.8392857313156128 
251----匹配点数:1379, 正确匹配点数1212, 准确率0.8788977265357971 
252----匹配点数:1505, 正确匹配点数1187, 准确率0.7887043356895447 
253----匹配点数:1134, 正确匹配点数795, 准确率0.7010582089424133 
254----匹配点数:842, 正确匹配点数688, 准确率0.8171021342277527 
255----匹配点数:1097, 正确匹配点数993, 准确率0.9051960110664368 
256----匹配点数:449, 正确匹配点数355, 准确率0.7906458973884583 
257----匹配点数:861, 正确匹配点数739, 准确率0.8583043217658997 
258----匹配点数:976, 正确匹配点数890, 准确率0.9118852615356445 
259----匹配点数:1535, 正确匹配点数1277, 准确率0.8319218158721924 
260----匹配点数:1594, 正确匹配点数1375, 准确率0.8626098036766052 
261----匹配点数:1790, 正确匹配点数1121, 准确率0.6262570023536682 
262----匹配点数:1551, 正确匹配点数1374, 准确率0.8858800530433655 
263----匹配点数:1425, 正确匹配点数1142, 准确率0.8014035224914551 
264----匹配点数:1895, 正确匹配点数1692, 准确率0.8928759694099426 
265----匹配点数:1707, 正确匹配点数1410, 准确率0.826010525226593 
266----匹配点数:404, 正确匹配点数355, 准确率0.8787128925323486 
267----匹配点数:1845, 正确匹配点数1558, 准确率0.8444444537162781 
268----匹配点数:1398, 正确匹配点数1284, 准确率0.9184549450874329 
269----匹配点数:1432, 正确匹配点数1229, 准确率0.8582402467727661 
270----匹配点数:1793, 正确匹配点数1494, 准确率0.8332403898239136 
271----匹配点数:1273, 正确匹配点数1144, 准确率0.8986645936965942 
272----匹配点数:1003, 正确匹配点数780, 准确率0.7776669859886169 
273----匹配点数:1277, 正确匹配点数1051, 准确率0.823022723197937 
274----匹配点数:1061, 正确匹配点数871, 准确率0.8209236860275269 
275----匹配点数:447, 正确匹配点数380, 准确率0.8501118421554565 
276----匹配点数:1386, 正确匹配点数1190, 准确率0.8585858345031738 
277----匹配点数:2499, 正确匹配点数2123, 准确率0.8495398163795471 
278----匹配点数:779, 正确匹配点数668, 准确率0.8575096130371094 
279----匹配点数:1836, 正确匹配点数1442, 准确率0.7854030728340149 
280----匹配点数:1203, 正确匹配点数1055, 准确率0.8769742250442505 
281----匹配点数:2176, 正确匹配点数1758, 准确率0.8079044222831726 
282----匹配点数:1652, 正确匹配点数1431, 准确率0.8662227392196655 
283----匹配点数:1473, 正确匹配点数1184, 准确率0.8038017749786377 
284----匹配点数:861, 正确匹配点数795, 准确率0.9233449697494507 
285----匹配点数:700, 正确匹配点数560, 准确率0.800000011920929 
286----匹配点数:1930, 正确匹配点数1722, 准确率0.8922280073165894 
287----匹配点数:2479, 正确匹配点数1979, 准确率0.7983057498931885 
288----匹配点数:436, 正确匹配点数382, 准确率0.8761467933654785 
289----匹配点数:596, 正确匹配点数493, 准确率0.8271812200546265 
290----匹配点数:1922, 正确匹配点数1643, 准确率0.8548387289047241 
291----匹配点数:1332, 正确匹配点数1092, 准确率0.8198198080062866 
292----匹配点数:2117, 正确匹配点数1881, 准确率0.8885214924812317 
293----匹配点数:1627, 正确匹配点数1421, 准确率0.8733866214752197 
294----匹配点数:1901, 正确匹配点数1461, 准确率0.7685428857803345 
295----匹配点数:2707, 正确匹配点数2410, 准确率0.8902844190597534 
296----匹配点数:1355, 正确匹配点数1140, 准确率0.8413284420967102 
297----匹配点数:1805, 正确匹配点数1305, 准确率0.7229917049407959 
298----匹配点数:1888, 正确匹配点数1337, 准确率0.7081567645072937 
299----匹配点数:1777, 正确匹配点数1466, 准确率0.824985921382904 
